anime_id,Anime Name,rating
15125,Teekyuu,0
56172,"Temple x Kanojo, Okarishimasu",0
2001,Tengen Toppa Gurren Lagann,0
47159,Tensai Ouji no Akaji Kokka Saisei Jutsu,0
4654,Toaru Majutsu no Index,0
16011,Tokyo Ravens,0
53446,Tondemo Skill de Isekai Hourou Meshi,0
40620,Uramichi Oniisan,0
37521,Vinland Saga,0
49387,Vinland Saga Season 2,0
37987,Violet Evergarden Movie,0
46095,Vivy: Fluorite Eye's Song,0
32899,Watashi ga Motete Dousunda,0
43299,Wonder Egg Priority,0
25879,Working!!!,0
56960,Xiehou Ta de Shaonu Shidai,0
34798,Yuru Camp△,0
10495,Yuru Yuri,0
50175,"Yuusha, Yamemasu",0
1195,Zero no Tsukaima,0
14075,Zetsuen no Tempest,0
